Month,Total Current Assets,Total Non-Current Assets,Total Current Liabilities,Total Long-term Liabilities,Total Equity,P/E,SMA,RSI,Highest Price
2023/8,221000000000.00,633000000000.00,249000000000.00,336000000000.00,269000000000.00,6.24,184.14,46.65,269.80
2023/7,221000000000.00,633000000000.00,249000000000.00,336000000000.00,269000000000.00,6.52,158.51,37.70,237.60
2023/6,221000000000.00,633000000000.00,249000000000.00,336000000000.00,269000000000.00,5.39,110.67,22.25,193.70
2023/5,152000000000.00,463000000000.00,173000000000.00,250000000000.00,191000000000.00,4.00,90.71,44.79,149.40
2023/4,152000000000.00,463000000000.00,173000000000.00,250000000000.00,191000000000.00,3.72,83.31,39.50,138.20
2023/3,152000000000.00,463000000000.00,173000000000.00,250000000000.00,191000000000.00,3.45,97.87,69.28,148.70
2023/2,135000000000.00,443000000000.00,154000000000.00,243000000000.00,181000000000.00,4.90,97.79,79.98,152.80
2023/1,135000000000.00,443000000000.00,154000000000.00,243000000000.00,181000000000.00,4.69,102.11,51.72,156.40
2022/12,135000000000.00,443000000000.00,154000000000.00,243000000000.00,181000000000.00,4.80,99.07,34.43,148.00
2022/11,136000000000.00,136000000000.00,153000000000.00,229000000000.00,182000000000.00,4.09,80.47,29.98,121.10
2022/10,136000000000.00,136000000000.00,153000000000.00,229000000000.00,182000000000.00,7.12,62.34,14.53,102.10
2022/9,136000000000.00,136000000000.00,153000000000.00,229000000000.00,182000000000.00,4.96,52.76,44.07,78.60
2022/8,118000000000.00,371000000000.00,151000000000.00,204000000000.00,135000000000.00,5.13,45.15,9.46,73.40
2022/7,118000000000.00,371000000000.00,151000000000.00,204000000000.00,135000000000.00,6.96,28.73,39.16,52.10
2022/6,118000000000.00,371000000000.00,151000000000.00,204000000000.00,135000000000.00,6.46,34.48,58.39,52.90
2022/5,81812000000.00,317000000000.00,112000000000.00,182000000000.00,105000000000.00,6.89,26.09,17.17,51.00
2022/4,81812000000.00,317000000000.00,112000000000.00,182000000000.00,105000000000.00,5.70,25.42,10.35,41.78
2022/3,81812000000.00,317000000000.00,112000000000.00,182000000000.00,105000000000.00,5.42,21.18,21.96,32.88
2022/2,65797000000.00,288000000000.00,90443000000.00,173000000000.00,90650000000.00,6.05,18.29,58.80,30.48
2022/1,65797000000.00,288000000000.00,90443000000.00,173000000000.00,90650000000.00,6.78,19.96,25.62,29.44
2021/12,65797000000.00,288000000000.00,90443000000.00,173000000000.00,90650000000.00,4.73,15.42,46.31,26.66
2021/11,47482000000.00,194000000000.00,62854000000.00,121000000000.00,57608000000.00,4.06,12.83,38.20,19.46
2021/10,47482000000.00,194000000000.00,62854000000.00,121000000000.00,57608000000.00,14.86,9.18,37.80,14.98
2021/9,47482000000.00,194000000000.00,62854000000.00,121000000000.00,57608000000.00,13.84,9.50,31.04,14.09
2021/8,41325000000.00,187000000000.00,60661000000.00,119000000000.00,48873000000.00,12.58,8.51,50.74,12.99
2021/7,41325000000.00,187000000000.00,60661000000.00,119000000000.00,48873000000.00,5.61,7.25,60.32,14.19
2021/6,41325000000.00,187000000000.00,60661000000.00,119000000000.00,48873000000.00,5.90,10.45,50.00,14.92
2021/5,34150000000.00,177000000000.00,51859000000.00,112000000000.00,47853000000.00,5.87,7.64,35.91,13.71
2021/4,34150000000.00,177000000000.00,51859000000.00,112000000000.00,47853000000.00,3.02,8.44,56.07,13.14
2021/3,34150000000.00,177000000000.00,51859000000.00,112000000000.00,47853000000.00,3.14,10.31,49.52,15.17
2021/2,30659000000.00,157000000000.00,47379000000.00,101000000000.00,39511000000.00,3.02,8.86,26.37,13.61
2021/1,30659000000.00,157000000000.00,47379000000.00,101000000000.00,39511000000.00,5.13,8.27,61.30,13.67
2020/12,30659000000.00,157000000000.00,47379000000.00,101000000000.00,39511000000.00,5.47,9.30,32.96,13.25
2020/11,29238000000.00,162000000000.00,47844000000.00,99187000000.00,43990000000.00,4.83,7.82,25.23,12.36
2020/10,29238000000.00,162000000000.00,47844000000.00,99187000000.00,43990000000.00,9.29,7.01,79.37,10.99
2020/9,29238000000.00,162000000000.00,47844000000.00,99187000000.00,43990000000.00,10.36,7.78,51.17,11.08
2020/8,28568000000.00,141000000000.00,44319000000.00,84164000000.00,40815000000.00,10.42,7.11,51.35,12.06
2020/7,28568000000.00,141000000000.00,44319000000.00,84164000000.00,40815000000.00,3.92,7.91,74.80,12.61
2020/6,28568000000.00,141000000000.00,44319000000.00,84164000000.00,40815000000.00,4.59,9.21,52.04,13.15
2020/5,24806000000.00,138000000000.00,40523000000.00,80836000000.00,41343000000.00,4.62,6.05,18.77,13.30
2020/4,24806000000.00,138000000000.00,40523000000.00,80836000000.00,41343000000.00,3.25,7.05,28.87,11.28
2020/3,24806000000.00,138000000000.00,40523000000.00,80836000000.00,41343000000.00,2.76,6.38,64.00,12.22
2020/2,28339000000.00,119000000000.00,35417000000.00,70659000000.00,40795000000.00,6.36,9.78,63.61,15.33
2020/1,28339000000.00,119000000000.00,35417000000.00,70659000000.00,40795000000.00,7.41,10.20,57.72,15.26
2019/12,28339000000.00,119000000000.00,35417000000.00,70659000000.00,40795000000.00,7.83,9.85,36.58,14.54
2019/11,24918000000.00,111000000000.00,33577000000.00,64398000000.00,37528000000.00,7.40,9.26,27.75,14.32
2019/10,24918000000.00,111000000000.00,33577000000.00,64398000000.00,37528000000.00,5.74,8.23,58.33,12.40
2019/9,24918000000.00,111000000000.00,33577000000.00,64398000000.00,37528000000.00,6.11,8.26,37.20,12.48
2019/8,27898000000.00,105000000000.00,36331000000.00,63156000000.00,33275000000.00,5.57,6.79,69.59,12.63
2019/7,27898000000.00,105000000000.00,36331000000.00,63156000000.00,33275000000.00,5.54,9.09,54.17,13.56
2019/6,27898000000.00,105000000000.00,36331000000.00,63156000000.00,33275000000.00,5.73,7.29,44.96,13.40
2019/5,27141000000.00,102000000000.00,33909000000.00,61974000000.00,33171000000.00,5.55,8.84,73.26,14.65
2019/4,27141000000.00,102000000000.00,33909000000.00,61974000000.00,33171000000.00,4.88,9.80,36.03,14.66
2019/3,27141000000.00,102000000000.00,33909000000.00,61974000000.00,33171000000.00,4.41,9.16,58.61,14.60
2019/2,23706000000.00,85370000000.00,27273000000.00,50519000000.00,31284000000.00,5.00,10.15,59.41,15.47
2019/1,23706000000.00,85370000000.00,27273000000.00,50519000000.00,31284000000.00,5.46,10.59,57.20,16.25
2018/12,23706000000.00,85370000000.00,27273000000.00,50519000000.00,31284000000.00,5.70,10.80,57.63,17.15
2018/11,31701000000.00,91283000000.00,30051000000.00,56294000000.00,36639000000.00,6.02,11.70,31.51,17.42
2018/10,31701000000.00,91283000000.00,30051000000.00,56294000000.00,36639000000.00,8.14,11.83,76.88,19.21
2018/9,31701000000.00,91283000000.00,30051000000.00,56294000000.00,36639000000.00,11.06,12.02,27.52,19.54
2018/8,22704000000.00,67671000000.00,23647000000.00,41785000000.00,24943000000.00,9.44,9.68,57.20,17.93
2018/7,22704000000.00,67671000000.00,23647000000.00,41785000000.00,24943000000.00,13.66,10.91,30.80,18.19
2018/6,22704000000.00,67671000000.00,23647000000.00,41785000000.00,24943000000.00,10.70,9.21,69.51,16.75
2018/5,15227000000.00,57902000000.00,19453000000.00,33602000000.00,20074000000.00,13.16,11.82,50.37,17.64
2018/4,15227000000.00,57902000000.00,19453000000.00,33602000000.00,20074000000.00,36.09,12.36,64.63,20.02
2018/3,15227000000.00,57902000000.00,19453000000.00,33602000000.00,20074000000.00,41.27,13.03,49.78,19.66
2018/2,13699000000.00,54948000000.00,16209000000.00,32267000000.00,20171000000.00,12.40,12.39,34.38,19.07
2018/1,13699000000.00,54948000000.00,16209000000.00,32267000000.00,20171000000.00,10.72,11.12,44.27,16.55
2017/12,13699000000.00,54948000000.00,16209000000.00,32267000000.00,20171000000.00,10.20,9.66,19.65,15.99
2017/11,15455000000.00,50777000000.00,17477000000.00,29889000000.00,18866000000.00,7.97,7.90,39.41,12.39
2017/10,15455000000.00,50777000000.00,17477000000.00,29889000000.00,18866000000.00,61.74,6.72,31.81,10.47
2017/9,15455000000.00,50777000000.00,17477000000.00,29889000000.00,18866000000.00,52.05,6.01,61.45,10.54
2017/8,14217000000.00,50256000000.00,19008000000.00,29330000000.00,16135000000.00,58.06,6.56,30.15,9.89
2017/7,14217000000.00,50256000000.00,19008000000.00,29330000000.00,16135000000.00,52.98,5.86,33.04,9.01
2017/6,14217000000.00,50256000000.00,19008000000.00,29330000000.00,16135000000.00,48.30,4.99,32.00,8.13
2017/5,12814000000.00,54389000000.00,17886000000.00,32332000000.00,16985000000.00,43.44,4.56,17.58,7.36
2017/4,12814000000.00,54389000000.00,17886000000.00,32332000000.00,16985000000.00,177.93,3.76,28.68,6.22
2017/3,12814000000.00,54389000000.00,17886000000.00,32332000000.00,16985000000.00,160.60,4.19,10.44,5.99
2017/2,12673000000.00,52401000000.00,15832000000.00,31343000000.00,17899000000.00,10.32,4.05,54.26,5.82
2017/1,12673000000.00,52401000000.00,15832000000.00,31343000000.00,17899000000.00,10.48,3.64,38.30,5.67
2016/12,12673000000.00,52401000000.00,15832000000.00,31343000000.00,17899000000.00,9.47,3.48,42.42,5.09
2016/11,11079000000.00,44637000000.00,13251000000.00,28562000000.00,13903000000.00,9.09,3.80,69.09,5.53
2016/10,11079000000.00,44637000000.00,13251000000.00,28562000000.00,13903000000.00,117.59,3.69,37.29,5.74
2016/9,11079000000.00,44637000000.00,13251000000.00,28562000000.00,13903000000.00,111.11,3.13,52.17,5.42
